Sku,1,2,3,4,5,6,7,8,9,10,11,12
10.8oz_Beef,990.62,25.78,830.7299999999998,753.9899999999998,696.3199999999999,824.3400000000006,849.900000000001,1348.1000000000022,1445.0799999999992,1195.8800000000003,1558.3699999999992,1233.0700000000006
10_Extra Large_Yak,3393.0399999999977,3389.1399999999976,3559.6499999999987,2824.2299999999987,3029.009999999998,3212.0500000000025,2668.5400000000022,3122.6700000000037,3004.760000000001,3107.980000000005,4307.910000000007,4187.060000000007
10_Large_Yak,5855.020000000026,5957.170000000022,5963.750000000017,5297.1700000000155,4950.120000000015,5916.720000000015,5733.120000000014,5922.830000000016,6480.720000000026,6608.520000000026,7207.990000000035,8409.130000000045
10_Medium_Yak,9145.080000000047,10152.76000000005,9584.26000000005,9910.080000000044,9281.350000000051,10573.220000000101,8382.130000000063,11038.090000000113,10467.610000000104,11647.130000000123,12870.350000000164,13438.590000000166
13-3B0D-U7XZ,,,,,,,,,,111.59999999999985,5.639999999999997,
3_Extra Large_Yak,3868.750000000007,3936.70000000001,5174.8199999999815,3689.4899999999984,2386.540000000006,4303.129999999985,4875.969999999968,3834.5999999999904,4829.93999999997,4958.84999999997,5720.339999999958,6577.079999999942
3_Large_Yak,4643.780000000016,3991.1900000000205,5650.619999999992,6215.20999999997,7087.529999999958,5610.619999999985,5287.72999999999,6717.489999999984,6798.579999999931,6683.649999999923,7360.489999999906,8681.15999999991
5.4oz_Beef,2181.1100000000038,1663.8200000000036,1201.7300000000023,1080.2000000000014,1108.9000000000015,1195.330000000001,1064.8699999999992,2500.6700000000005,1757.2200000000034,1092.1199999999997,1358.0300000000034,1604.9700000000055
5_Small_Yak,4302.579999999995,3570.6300000000074,4691.989999999967,4432.869999999988,4804.359999999967,4913.020000000008,6060.4200000000565,5465.040000000024,5717.950000000034,5957.920000000046,6645.190000000076,7937.03000000013
6oz_Broth,3840.5000000000005,2700.7700000000027,2427.130000000008,2847.950000000002,2666.0600000000027,2904.339999999998,2361.4100000000044,3326.6900000000005,2492.4500000000025,2545.4300000000035,2631.4099999999985,2510.7000000000035
9C-O5JI-5W9H,11513.529999999977,12176.349999999962,12462.789999999972,15570.959999999915,15777.769999999917,14370.459999999925,16229.21999999983,19717.65999999959,19252.29999999947,17574.8099999997,19942.20999999957,15997.01999999975
DR-OLT5-HOKW,2003.8199999999908,2857.6500000000215,4159.000000000062,5601.130000000011,4867.070000000037,7331.9999999998645,5771.889999999929,7809.189999999816,7715.269999999802,8265.709999999794,7866.349999999806,8674.809999999821
NT-RGS9-UUR2,2567.200000000008,2921.350000000011,3353.7500000000123,3224.690000000012,3366.6900000000123,3761.0499999999856,2761.969999999993,3720.31999999998,3967.639999999977,4493.40999999997,5578.049999999966,6091.929999999957
PR-ADC-Calm60,,,,,,,,,,4973.71000000001,10162.359999999895,5305.339999999963
PR-ADC-Calm60_MF,,,,,,,,,,252.61999999999995,18.959999999999987,6.599999999999994
PR-ALLERJ-8.2,,,,,197.00000000000003,107.50000000000001,,,,,,95.30000000000004
PR-ALLERJ-8.2_FBA,,,,,,3820.2200000000107,6486.400000000043,4954.33000000004,4471.08000000003,6283.860000000064,6667.910000000078,9903.950000000032
PR-BLJ-7.5,,,,,187.50000000000003,54.750000000000014,4.5,9.0,9.0,4.5,16.04,9.0
PR-BLJ-7.5_FBA,,,,,,2532.189999999997,4943.770000000021,6664.850000000036,5187.620000000008,6610.64000000004,7015.040000000042,6672.360000000008
PR-HJJ-60,323.65999999999997,12.75,,,-6.200000000000003,,,,,105.75,-15.0,
PR-OO-16,39.0,6.0,3.0,6.0,,3.0,6.0,-20.68,-123.48999999999998,-75.77,-279.96000000000004,-82.53
PR-OO-8,110.5099999999999,3.6000000000000014,3.9600000000000026,3.6000000000000014,3.6000000000000014,3.6000000000000014,1.8000000000000007,1.8000000000000007,3.6000000000000014,7.200000000000003,21.60000000000001,12.600000000000005
PR-Pro-16.4,,,,,,,,,,,299.09000000000015,3107.640000000004
PR-Pro-8.2,5457.489999999945,4716.279999999987,5376.409999999969,6266.4199999999155,5842.879999999974,6646.1000000000095,8372.970000000018,10763.43999999993,12109.929999999897,16703.32999999975,18432.33999999951,15765.859999999744
PR-Rlf-60ct,,,,,,,,,,32.55999999999999,3350.3100000000036,3536.4599999999605
Q2-XMV2-E15G,,,278.94,-10.799999999999994,,,,,,,,
QM-BN2C-I2R9,11160.680000000237,11924.290000000237,13132.930000000275,11121.4100000002,12593.210000000083,11968.20000000013,12645.100000000239,11331.750000000211,14147.210000000276,14479.690000000299,15989.900000000354,19255.720000000343
QX-48VR-0UZS,4355.959999999998,4041.479999999994,4301.609999999998,3832.899999999995,3741.909999999994,3966.3200000000147,3554.6400000000162,4385.420000000017,4438.460000000017,3663.9200000000174,3837.080000000017,3671.3800000000156
Small_Pumpkin_8oz,11851.899999999598,9779.069999999767,11967.71999999959,16447.639999999403,17378.629999999353,17816.92999999984,17758.689999999497,21254.809999999237,-15285.170000000397,7321.410000000125,13551.259999999815,15483.459999999744
Small_Pumpkin_8oz-stickerles,,,,,,,,,179.2799999999999,,6.639999999999999,73.03999999999999
VK-X3R0-SUNB,959.7800000000002,2020.4900000000084,1296.59,1035.5100000000014,874.6800000000013,1304.9000000000003,978.6999999999986,1402.36,1602.8200000000027,328.21999999999974,6.689999999999991,
ZK-QAIN-CGO2,876.8999999999984,1256.8000000000004,1917.7400000000084,2452.30000000001,2644.9700000000125,3393.6799999999935,3621.459999999982,4724.539999999967,5427.05999999995,6140.159999999932,6378.099999999925,6909.449999999913
